id,course_id,program_id
1,60,10
2,95,10
3,1,10
4,7,10
5,40,10
6,42,10
7,106,10
8,107,10
9,108,10
10,60,11
11,95,11
12,1,11
13,7,11
14,40,11
15,42,11
16,106,11
17,107,11
18,108,11
19,112,10
20,147,10
21,132,10
22,43,11
23,157,11
24,159,11
25,25,1
26,41,1
27,42,1
28,48,1
29,60,1
30,73,1
31,74,1
32,78,1
33,107,1
34,108,1
35,60,2
36,95,2
37,96,2
38,99,2
39,1,2
40,7,2
41,112,2
42,113,2
43,115,2
44,129,2
45,130,2
46,131,2
47,132,2
48,133,2
49,135,2
50,136,2
51,158,2
52,25,12
53,60,12
54,112,12
55,95,12
56,98,12
57,115,12
58,114,12
59,120,12
60,105,12
61,106,12
62,129,12
63,134,12
64,20,12
65,30,12
66,39,12
67,25,8
68,60,8
69,97,8
70,11,8
71,12,8
72,13,8
73,14,8
74,15,8
75,3,8
76,4,8
77,129,8
78,134,8
79,24,8
80,16,8
81,77,8
